商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
68568fff0f1443000129023e,中古风吸盘挂钩浴室免打孔强力承重挂衣钩粘钩无痕毛巾家用挂架,medium,商品已下架/冻结,35000,0.0,WATCH,683fe6cbbff2f4001506ac63,妙荷百货的店,2026-06-18 15:23:10,web_full,,1
692fe00e137a3b000183e2f3,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,6913fbbc7a5cde0015070736,佑岚fafa的店,2026-06-18 15:23:10,web_full,,1
68568f5202b98c0015686063,中古风吸盘挂钩浴室免打孔强力承重挂衣钩粘钩无痕毛巾家用挂架,medium,商品已下架/冻结,35000,0.0,WATCH,,,2026-06-18 15:23:10,web_full,,1
68568f52e6b464001576613f,中古风吸盘挂钩浴室免打孔强力承重挂衣钩粘钩无痕毛巾家用挂架,medium,商品已下架/冻结,35000,0.0,WATCH,,妙荷百货的店,2026-06-18 15:23:11,web_full,,1
692fe00e137a3b000183e302,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,6913fbbc7a5cde0015070736,佑岚fafa的店,2026-06-18 15:23:13,web_full,,1
692fe00e137a3b000183e2ff,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,,,2026-06-18 15:23:13,web_full,,1
69f6aa818c2c230001cc7840,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,,,2026-06-18 15:23:13,web_full,,1
63be64d096fb3c00011930fa,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,,,2026-06-18 15:25:04,web_full,,1
647017dcd171fa0001f27052,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,,小萱萱同学的店,2026-06-18 15:25:04,web_full,,1
6683995f48e1ae0001ea387d,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,,,2026-06-18 15:25:06,web_full,,1
69363e4f691100000186f639,【踩数字】40欧12 保底lsr奇萌sr/ssr卡牌,medium,商品已下架/冻结,32000,0.0,WATCH,,,2026-06-18 15:25:07,web_full,,1
6768d6a1ada6590001248be6,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,6333e0d4b74d0a00017c799c,小萱萱同学的店,2026-06-18 15:25:07,web_full,,1
63be64cf96fb3c00011930c8,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,6333e0d4b74d0a00017c799c,小萱萱同学的店,2026-06-18 15:25:07,web_full,,1
63be64d096fb3c0001193149,语文337晨读 语文小学必背知识点打卡计划 高效记忆 通用版,medium,商品已下架/冻结,32000,0.0,WATCH,,,2026-06-18 15:25:08,web_full,,1
6445760d27bd410001fa6ff7,拼音拼读训练幼小衔接小学一年级声母韵母拼读训练手册,medium,商品已下架/冻结,31000,0.0,WATCH,,瑭瑭妈妈的店,2026-06-18 15:26:24,web_full,,1
6538c8d1efb1210001a8ef7a,斗半匠·拼音拼读训练幼小衔接小学一年级声母韵母拼读训练手册,medium,商品已下架/冻结,31000,0.0,WATCH,64107973d485a10001741e9e,瑭瑭妈妈的店,2026-06-18 15:26:30,web_full,,1
69a1298cd8116e0001827e04,拼音拼读训练幼小衔接小学一年级声母韵母拼读训练手册,medium,商品已下架/冻结,31000,0.0,WATCH,,,2026-06-18 15:26:30,web_full,,1
6538c8d1efb1210001a8ef80,拼音拼读训练幼小衔接小学一年级声母韵母拼读训练手册,medium,商品已下架/冻结,31000,0.0,WATCH,,,2026-06-18 15:26:31,web_full,,1
6688d84e22910a0001c35189,斗半匠·拼音拼读训练幼小衔接小学一年级声母韵母拼读训练手册,medium,商品已下架/冻结,31000,0.0,WATCH,64107973d485a10001741e9e,瑭瑭妈妈的店,2026-06-18 15:26:33,web_full,,1
6661b7b60f78be0001bd0362,电容笔手写笔平替笔适用苹果ipad华为小米vivooppo联想平板电容笔,medium,商品已下架/冻结,30000,0.0,WATCH,,,2026-06-18 15:26:39,web_full,,1
6661b7b60f78be0001bd0359,电容笔手写笔平替笔适用苹果ipad华为小米vivooppo联想平板电容笔,medium,商品已下架/冻结,30000,0.0,WATCH,,,2026-06-18 15:26:43,web_full,,1
6661b7b60f78be0001bd0356,电容笔手写笔平替笔适用苹果ipad华为小米vivooppo联想平板电容笔,medium,商品已下架/冻结,30000,0.0,WATCH,,,2026-06-18 15:26:45,web_full,,1
